user_id,old_email,new_email,status,detail
8182,pinar.aksoy@tomofil.test,pinar.aksoy@kokpitim.com,OK,OK
8183,esra.sen@tomofil.test,esra.sen@kokpitim.com,OK,OK
8184,taylan.koc@tomofil.test,taylan.koc@kokpitim.com,OK,OK
8185,fatih.demirel@tomofil.test,fatih.demirel@kokpitim.com,OK,OK
8186,ozge.kara@tomofil.test,ozge.kara@kokpitim.com,OK,OK
8187,burak.yilmaz@tomofil.test,burak.yilmaz@kokpitim.com,OK,OK
8188,ipek.gunes@tomofil.test,ipek.gunes@kokpitim.com,OK,OK
8189,mert.aslan@tomofil.test,mert.aslan@kokpitim.com,OK,OK
8197,cem.gul@tomofil.test,cem.gul@kokpitim.com,OK,OK
8198,erkan.gunes@tomofil.test,erkan.gunes@kokpitim.com,OK,OK
8199,mert.aktas@tomofil.test,mert.aktas@kokpitim.com,OK,OK
8202,aslihan.korkmaz@tomofil.test,aslihan.korkmaz@kokpitim.com,OK,OK
8203,dogan.sarac@tomofil.test,dogan.sarac@kokpitim.com,OK,OK
8204,umut.eren@tomofil.test,umut.eren@kokpitim.com,OK,OK
8205,erkan.akin@tomofil.test,erkan.akin@kokpitim.com,OK,OK
8206,ayse.eren@tomofil.test,ayse.eren@kokpitim.com,OK,OK
8207,merve.toprak@tomofil.test,merve.toprak@kokpitim.com,OK,OK
8208,emre.polat@tomofil.test,emre.polat@kokpitim.com,OK,OK
8174,deniz.tunc@tomofil.test,deniz.tunc@kokpitim.com,OK,OK
8209,ahmet.bayram@tomofil.test,ahmet.bayram@kokpitim.com,OK,OK
8216,engin.kaya@tomofil.test,engin.kaya@kokpitim.com,OK,OK
8219,mete.aslan@tomofil.test,mete.aslan@kokpitim.com,OK,OK
8220,halil.gul@tomofil.test,halil.gul@kokpitim.com,OK,OK
8221,baris.kilic@tomofil.test,baris.kilic@kokpitim.com,OK,OK
8231,ali.acar@tomofil.test,ali.acar@kokpitim.com,OK,OK
8234,murat.gul@tomofil.test,murat.gul@kokpitim.com,OK,OK
8235,elif.tekin@tomofil.test,elif.tekin@kokpitim.com,OK,OK
8236,volkan.kara@tomofil.test,volkan.kara@kokpitim.com,OK,OK
8237,eren.gunes@tomofil.test,eren.gunes@kokpitim.com,OK,OK
8238,halil.yildirim@tomofil.test,halil.yildirim@kokpitim.com,OK,OK
8239,yusuf.cakir@tomofil.test,yusuf.cakir@kokpitim.com,OK,OK
8240,kaan.aktas@tomofil.test,kaan.aktas@kokpitim.com,OK,OK
8241,ahmet.soylu@tomofil.test,ahmet.soylu@kokpitim.com,OK,OK
8251,caner.kahraman@tomofil.test,caner.kahraman@kokpitim.com,OK,OK
8252,burcu.arslan@tomofil.test,burcu.arslan@kokpitim.com,OK,OK
8253,yeliz.tekin@tomofil.test,yeliz.tekin@kokpitim.com,OK,OK
8262,ahmet.sarac@tomofil.test,ahmet.sarac@kokpitim.com,OK,OK
8263,gozde.akin@tomofil.test,gozde.akin@kokpitim.com,OK,OK
8175,cansu.aydin@tomofil.test,cansu.aydin@kokpitim.com,OK,OK
8176,okan.celikkol@tomofil.test,okan.celikkol@kokpitim.com,OK,OK
8177,selim.korkmaz@tomofil.test,selim.korkmaz@kokpitim.com,OK,OK
8178,esin.demir@tomofil.test,esin.demir@kokpitim.com,OK,OK
8179,mehmet.aktas@tomofil.test,mehmet.aktas@kokpitim.com,OK,OK
8180,ali.kaplan@tomofil.test,ali.kaplan@kokpitim.com,OK,OK
8181,sibel.demir@tomofil.test,sibel.demir@kokpitim.com,OK,OK
8218,mustafa.akin@tomofil.test,mustafa.akin@kokpitim.com,OK,OK
8217,ahmet.sahin@tomofil.test,ahmet.sahin@kokpitim.com,OK,OK
8247,nurdan.kahraman@tomofil.test,nurdan.kahraman@kokpitim.com,OK,OK
8248,cigdem.ozdemir@tomofil.test,cigdem.ozdemir@kokpitim.com,OK,OK
8190,leyla.celik@tomofil.test,leyla.celik@kokpitim.com,OK,OK
8191,tuncay.ozdemir@tomofil.test,tuncay.ozdemir@kokpitim.com,OK,OK
8192,ferda.bulut@tomofil.test,ferda.bulut@kokpitim.com,OK,OK
8193,selin.akar@tomofil.test,selin.akar@kokpitim.com,OK,OK
8194,levent.arslan@tomofil.test,levent.arslan@kokpitim.com,OK,OK
8195,korhan.boz@tomofil.test,korhan.boz@kokpitim.com,OK,OK
8196,ali.cetin@tomofil.test,ali.cetin@kokpitim.com,OK,OK
8200,ramazan.bulut@tomofil.test,ramazan.bulut@kokpitim.com,OK,OK
8201,ibrahim.celik@tomofil.test,ibrahim.celik@kokpitim.com,OK,OK
8210,sila.simsek@tomofil.test,sila.simsek@kokpitim.com,OK,OK
8211,ibrahim.yildiz@tomofil.test,ibrahim.yildiz@kokpitim.com,OK,OK
8212,yusuf.aydin@tomofil.test,yusuf.aydin@kokpitim.com,OK,OK
8213,yigit.korkmaz@tomofil.test,yigit.korkmaz@kokpitim.com,OK,OK
8214,serkan.ucar@tomofil.test,serkan.ucar@kokpitim.com,OK,OK
8215,kaan.sarac@tomofil.test,kaan.sarac@kokpitim.com,OK,OK
8222,ozan.tekin@tomofil.test,ozan.tekin@kokpitim.com,OK,OK
8223,erkan.yildirim@tomofil.test,erkan.yildirim@kokpitim.com,OK,OK
8224,hasan.kara@tomofil.test,hasan.kara@kokpitim.com,OK,OK
8225,ozan.dogan@tomofil.test,ozan.dogan@kokpitim.com,OK,OK
8226,huseyin.erdem@tomofil.test,huseyin.erdem@kokpitim.com,OK,OK
8227,selcuk.yilmaz@tomofil.test,selcuk.yilmaz@kokpitim.com,OK,OK
8228,can.aslan@tomofil.test,can.aslan@kokpitim.com,OK,OK
8229,tayfun.koc@tomofil.test,tayfun.koc@kokpitim.com,OK,OK
8230,mert.soylu@tomofil.test,mert.soylu@kokpitim.com,OK,OK
8232,esma.kaplan@tomofil.test,esma.kaplan@kokpitim.com,OK,OK
8233,eda.sahin@tomofil.test,eda.sahin@kokpitim.com,OK,OK
8242,yusuf.koc@tomofil.test,yusuf.koc@kokpitim.com,OK,OK
8243,berk.ozkan@tomofil.test,berk.ozkan@kokpitim.com,OK,OK
8244,umut.toprak@tomofil.test,umut.toprak@kokpitim.com,OK,OK
8245,ali.yildiz@tomofil.test,ali.yildiz@kokpitim.com,OK,OK
8246,ahmet.akin@tomofil.test,ahmet.akin@kokpitim.com,OK,OK
8249,ozan.aydin@tomofil.test,ozan.aydin@kokpitim.com,OK,OK
8250,mustafa.cakir@tomofil.test,mustafa.cakir@kokpitim.com,OK,OK
8254,burak.boz@tomofil.test,burak.boz@kokpitim.com,OK,OK
8255,irem.cetin@tomofil.test,irem.cetin@kokpitim.com,OK,OK
8256,tolga.cetin@tomofil.test,tolga.cetin@kokpitim.com,OK,OK
8257,berk.sahin@tomofil.test,berk.sahin@kokpitim.com,OK,OK
8258,umut.aktas@tomofil.test,umut.aktas@kokpitim.com,OK,OK
8259,kerem.dogan@tomofil.test,kerem.dogan@kokpitim.com,OK,OK
8260,caner.eren@tomofil.test,caner.eren@kokpitim.com,OK,OK
8261,murat.unal@tomofil.test,murat.unal@kokpitim.com,OK,OK
8264,nilgun.tunc@tomofil.test,nilgun.tunc@kokpitim.com,OK,OK
8265,berkay.ozkan@tomofil.test,berkay.ozkan@kokpitim.com,OK,OK
8266,tayfun.karadag@tomofil.test,tayfun.karadag@kokpitim.com,OK,OK
8267,mert.yilmaz@tomofil.test,mert.yilmaz@kokpitim.com,OK,OK
8268,ramazan.bayram@tomofil.test,ramazan.bayram@kokpitim.com,OK,OK
8269,cem.tunc@tomofil.test,cem.tunc@kokpitim.com,OK,OK
